,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
83,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",3132,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
84,"Strip That Down","Liam Payne",3089,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
85,"Mi tesoro (feat. Nicky Jam)","Zion & Lennox",3085,https://open.spotify.com/track/5HABnFSYvl6mTmg8nSdzHa
86,"Ahora Me Llama","KAROL G",3029,https://open.spotify.com/track/61HHDBLqF3AmSvLfHKNGd2
87,"Por Fin Te Encontré","Cali Y El Dandee",3015,https://open.spotify.com/track/3GpvoKKWZyTwgbLEM9RmWM
88,"Hasta el Amanecer","Nicky Jam",3010,https://open.spotify.com/track/5Fim1gaXBgsiFfsQAfQSDS
89,"First Time",Kygo,3010,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
90,"Qué Me Has Hecho (feat. Wisin)",Chayanne,3008,https://open.spotify.com/track/3nUNwSYEUv9bmUc3de0Owv
91,"Symphony (feat. Zara Larsson)","Clean Bandit",3008,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
92,"Qué Gano Olvidándote (feat. Zion & Lennox) - Versión Urbana",Reik,2990,https://open.spotify.com/track/3H179O48ynsu9q8LOnFQZY
93,Closer,"The Chainsmokers",2976,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
94,"La Última Vez","Anuel AA",2968,https://open.spotify.com/track/4J1e3hbf0e5YUZjkxyJWD3
95,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",2962,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
96,"No Promises (feat. Demi Lovato)","Cheat Codes",2941,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
97,Photograph,"Ed Sheeran",2848,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
98,Cold,"Maroon 5",2840,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
99,"24K Magic","Bruno Mars",2822,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
100,"My Way","Calvin Harris",2783,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
101,"Shaky Shaky","Daddy Yankee",2776,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf
102,Malibu,"Miley Cyrus",2727,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O
103,"Scared to Be Lonely","Martin Garrix",2725,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
104,Starboy,"The Weeknd",2722,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
105,Passionfruit,Drake,2705,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
106,Amárrame,"Mon Laferte",2679,https://open.spotify.com/track/0u13src3QcditRU5VPduML
107,"Loco Enamorado","Abraham Mateo",2632,https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB
108,"Don't Wanna Know","Maroon 5",2627,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
109,"Me Gustas","Kevin Roldan",2611,https://open.spotify.com/track/2d8rQXA25Yk5ZE3XW1eTXs
110,"Si No Vuelves","Gente De Zona",2605,https://open.spotify.com/track/0PE1dlvMZeBqEbm4BtVVSZ
111,Faded,"Alan Walker",2522,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos
112,"Tan Fácil",CNCO,2508,https://open.spotify.com/track/1TxgZRcy3kZ7JaEp88MDbC
113,"Swish Swish","Katy Perry",2496,https://open.spotify.com/track/2kVHAQKVtczchKctctzbtK
114,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,2496,https://open.spotify.com/track/0JoHqmlqE0W0i9prt6kcHR
115,Mama,"Jonas Blue",2468,https://open.spotify.com/track/4xlrALxuaCf9yZBHJeTSG6
116,"No Te Hagas","Jory Boy",2462,https://open.spotify.com/track/5hKjEpYrJIJs6uPl7zw6Y6
117,Unforgettable,"French Montana",2452,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
118,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2446,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
119,"La Gozadera (feat. Marc Anthony)","Gente De Zona",2445,https://open.spotify.com/track/0OMRAvrtLWE2TvcXorRiB9
120,911,Feid,2436,https://open.spotify.com/track/1denQBP7H6fh9BXaTIgvQy
121,"Thinking out Loud","Ed Sheeran",2417,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
122,"Crying in the Club","Camila Cabello",2411,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev
123,"Una y Otra Vez","Manuel Medrano",2393,https://open.spotify.com/track/0bK3jxkbq5cDKWr68KtO8G
124,"Cuando Se Pone a Bailar",Rombai,2393,https://open.spotify.com/track/1MpKZi1zTXpERKwxmOu1PH
125,Perfect,"Ed Sheeran",2390,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
126,Caraluna,Bacilos,2379,https://open.spotify.com/track/7DhYjNLksXZhbRQeheAums
127,"Me Mata","Bad Bunny",2372,https://open.spotify.com/track/2wgDAPgBhFA7pnIbm0YOhP
128,"Desde Esa Noche (feat. Maluma)",Thalia,2354,https://open.spotify.com/track/1pWYnQIlqxTh5bxuPmTG4E
129,Fuego,Juanes,2337,https://open.spotify.com/track/0mwPE0lPOgnWf2bo14xedJ
130,Enamorándonos,Cabas,2333,https://open.spotify.com/track/0aywfeIr0tmhLZJxzqOhzP
131,"Hear Me Now",Alok,2313,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
132,Paris,"The Chainsmokers",2310,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
133,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)","Major Lazer",2305,https://open.spotify.com/track/3Ytr1SUCUi6J3L9dRFx5iH
134,Imitadora,"Romeo Santos",2295,https://open.spotify.com/track/19CAKZdXVNyZrfmF60RAj3
135,"Treat You Better","Shawn Mendes",2274,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
136,"Si me dices que sí (feat. Nicky Jam)",Cosculluela,2271,https://open.spotify.com/track/3noN1TxpjbjjmKqssghvg8
137,"Cake By The Ocean",DNCE,2245,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl
138,"Me Acostumbre (feat. Bad Bunny)",Arcangel,2241,https://open.spotify.com/track/2FIm6YsSGL5acOqSuJDh5s
139,"Ayer 2 (feat. Dj Nelson, J Balvin, Nicky Jam, Cosculluela)","Anuel AA",2221,https://open.spotify.com/track/5ZF3889W92eTBOROe0lPNN
140,"DUELE EL CORAZON (feat. Wisin)","Enrique Iglesias",2194,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
141,"More Than You Know","Axwell /\ Ingrosso",2188,https://open.spotify.com/track/4q8PHoRsPUB52LFylX8Ulz
142,"Hula Hoop","Daddy Yankee",2182,https://open.spotify.com/track/7BEI30TTNhwnkCyNUDmFrr
143,"The Scientist",Coldplay,2122,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
144,"Mala Mujer","C. Tangana",2121,https://open.spotify.com/track/6puxHBNwu2Nmm7uD3Rd2MP
145,"No Vacancy (with Sebastián Yatra)",OneRepublic,2119,https://open.spotify.com/track/3Gqj86AgnD8EiIOFIGLubs
146,"Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)",Arcangel,2112,https://open.spotify.com/track/6NSMQFKgjpQb0KkjMDYIK0
147,"Bebé - Remix",Brytiago,2101,https://open.spotify.com/track/2jVJYU4X3aD8hlTco3MlsN
148,"Dimelo (feat. Wason Brazoban)","Don Miguelo",2100,https://open.spotify.com/track/5rBWtDMRu3sxei9aQBXaRJ
149,"Deja Que Te Bese","Alejandro Sanz",2056,https://open.spotify.com/track/0s6yB0ZFl1LvYHAnGhXFga
150,"In the Name of Love","Martin Garrix",2055,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
151,"Perfect Strangers","Jonas Blue",2049,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
152,"Bon appétit","Katy Perry",2037,https://open.spotify.com/track/61WbtB6ujkpNAsAf5LjF4b
153,"Traicionera - Remix","Sebastian Yatra",2036,https://open.spotify.com/track/2webQDZmtGioeu3zUUi9We
154,"Stressed Out","Twenty One Pilots",2034,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
155,"Princesa (feat. CNCO)","Río Roma",2031,https://open.spotify.com/track/0N4jis8aNOjiIfkBl4mGje
156,Quisiera,CNCO,2026,https://open.spotify.com/track/4iPV0gcc8keTFl6qxqP73M
157,"Perro Fiel (feat. Nicky Jam)",Shakira,2009,https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL
158,"Cash Out (feat. ScHoolboy Q, PARTYNEXTDOOR & D.R.A.M.)","Calvin Harris",2001,https://open.spotify.com/track/0Ws8D3EWUDgY962Xftb0h5
159,"Galway Girl","Ed Sheeran",2000,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
160,"Cheap Thrills",Sia,1999,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
161,"Love Yourself","Justin Bieber",1978,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
