,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
73,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",57492,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
74,"I'll Be Home for Christmas","Albin Lee Meldau",56606,https://open.spotify.com/track/1NDffwvZVpYbA91pZikFp1
75,"It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como",56147,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa
76,"When You Wish Upon A Star","Louis Armstrong",56055,https://open.spotify.com/track/3HinJ3s0od3VvbdEmFYx9c
77,"Without Me",Halsey,55628,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
78,"Rudolph The Red-Nosed Reindeer","Dean Martin",54622,https://open.spotify.com/track/2L9QLAhrvtP4EYg1lY0Tnw
79,Everything,"Sebastian Walldén",53771,https://open.spotify.com/track/3sXHMpriGlbFhMdJT6tzao
80,"Always Remember Us This Way","Lady Gaga",53727,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
81,"Baby, It's Cold Outside (feat. Meghan Trainor)","Brett Eldredge",53481,https://open.spotify.com/track/5Q2P43CJra0uRAogjHyJDK
82,"Diamond Heart","Alan Walker",53480,https://open.spotify.com/track/0nrWZWkJM62ftQJSI8fDc0
83,"Christmas Candle","Sanna Nielsen",53209,https://open.spotify.com/track/2woDCx7zMzK86x6A9t2vPH
84,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,52540,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
85,"Santa Claus Is Coming To Town","The Jackson 5",52361,https://open.spotify.com/track/6a1hzBiTkgqTsDA0Xgfh9z
86,"Underneath the Tree","Kelly Clarkson",51674,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
87,"Bad Liar","Imagine Dragons",49761,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
