,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
72,"Glaub mir","Capital Bra",6174,https://open.spotify.com/track/4vKuOJyuxNNip87vL62zQB
73,Phänomenal,"Pietro Lombardi",6089,https://open.spotify.com/track/5Tz9FKVUOPZ5nMIbuAlRx4
74,"Meine Welt","Capital Bra",6072,https://open.spotify.com/track/5sP6sOHAF7iP0eAiPe3hqr
75,"Jennie (feat. R. City, Bori)","Felix Jaehn",5854,https://open.spotify.com/track/1iBOPEE6fIMsl7GMMcEyCF
76,Packen,"Capital Bra",5824,https://open.spotify.com/track/6FKavoRkuYirdbBZ4dqYOt
77,"Psycho (feat. Ty Dolla $ign)","Post Malone",5769,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
78,X,"Nicky Jam",5686,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
79,Magisch,Olexesh,5641,https://open.spotify.com/track/4gnuy9VBU2GGrN60UMB79t
80,Maserati,"RAF Camora",5492,https://open.spotify.com/track/6Ey4u2VsUbBz52l2cPvuxa
81,H.O.L.Y.,"Alle Farben",5466,https://open.spotify.com/track/625SfHM2FVyyUj3cT8108G
82,IDGAF,"Dua Lipa",5405,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
83,"In My Mind",Dynoro,5287,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
84,"Über Nacht",Gzuz,5278,https://open.spotify.com/track/6ciUAqm3B0sJU57CJIAOby
85,"¿ Warum ?",Gzuz,5201,https://open.spotify.com/track/0MCuJk4KeBnweGeMZXc6Br
86,"Was du Liebe nennst",Bausa,5174,https://open.spotify.com/track/2hIY4sjfMeKwXXh2LvhrMo
87,Piccos,Dardan,5118,https://open.spotify.com/track/3Iksy9wPB0Pqazx0WnxBp7
88,"We Can Do Better","Matt Simons",5105,https://open.spotify.com/track/1hLjLWrzO18acdCFcccFWk
89,"Bitte brich mein Herz nicht Baby","Left Boy",5054,https://open.spotify.com/track/7DOVJKwRr3EtQpZZuzznad
90,Hope,XXXTENTACION,5038,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
91,Barking,Ramz,4986,https://open.spotify.com/track/7amMgNDcObIDkIXv4xcvc2
92,Sorry,"Leo Aberer",4982,https://open.spotify.com/track/30Dei5HUnxOll3U6DK2nJl
93,"Nice For What",Drake,4949,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
94,NUMB,XXXTENTACION,4939,https://open.spotify.com/track/01TnVDiet1DFTsyWKUKovl
95,"Ohne mein Team","Bonez MC",4894,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
96,"Qa bone",Azet,4870,https://open.spotify.com/track/5mqjWAb4xWdoIr6IZdHpqS
97,"Playinwitme (feat. Kehlani)",KYLE,4865,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
98,"Havana (feat. Young Thug)","Camila Cabello",4816,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
99,"Gotham City","RAF Camora",4751,https://open.spotify.com/track/2axf5shPhjS8qdaGr5MWaS
100,"Leave a Light On","Tom Walker",4690,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
101,"Colors - Coca-Cola® Anthem, 2018 FIFA World CupTM","Jason Derulo",4682,https://open.spotify.com/track/7wD6iRghe6SnKHkvHqpnC5
102,"All Mine","Kanye West",4666,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
103,"More Than You Know","Axwell /\ Ingrosso",4572,https://open.spotify.com/track/71bBFbfn2OBK5QwUJSLS44
104,Familiar,"Liam Payne",4557,https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A
105,"Mwaka Moon - Remix",Kalash,4531,https://open.spotify.com/track/5QONeRJGHsyLwloZIUYyUE
106,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)","Rita Ora",4505,https://open.spotify.com/track/1YNQscOx6OqBQjxgJVhEeW
107,"Échame La Culpa","Luis Fonsi",4491,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
108,Somebody,"The Chainsmokers",4465,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
109,Eloah,"Sun Diego",4448,https://open.spotify.com/track/7kYC5ilFc6kXN6YagFRemB
110,Happier,"Ed Sheeran",4415,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
111,"Olé Olé","Capital Bra",4409,https://open.spotify.com/track/4v4ZuW2tjSyyci2BcE5bTp
112,"Sick Boy","The Chainsmokers",4397,https://open.spotify.com/track/08hm0V6cTsWDX62hW42sEv
113,Kontrollieren,"RAF Camora",4325,https://open.spotify.com/track/1uGERQ2DVv7j9WSsWzOHVp
114,Ona'e,"Jala Brat",4294,https://open.spotify.com/track/4vU42Ghluo6eQqCDpp7lHf
115,"Was erlebt",Gzuz,4286,https://open.spotify.com/track/2bCZyD1ObacfnBhYi4t37d
116,"Netflix & Chill","Kay One",4259,https://open.spotify.com/track/7n3TVLhIYltUm7uzzy6xFK
117,"An Wunder","Wincent Weiss",4206,https://open.spotify.com/track/1tvLm3VWxauQ1q8po39Io9
118,"Cika Cika","Ardian Bujupi",4192,https://open.spotify.com/track/5S1a6dGOE1z2zGGDyCdQd7
119,"Freaky Friday (feat. Chris Brown)","Lil Dicky",4179,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
120,"Need for Speed",RIN,4147,https://open.spotify.com/track/3Sorb39PRlbUcx2PxMore6
121,"Wolke 7",Gzuz,4107,https://open.spotify.com/track/40ebjDfdkYrysmll4KF5BR
122,"Oder nicht","Kontra K",4050,https://open.spotify.com/track/3nEfpEGlsuoUF2JijlcIvx
123,Audio,Sia,3958,https://open.spotify.com/track/7boPPE857KEqCIHNwFkDop
124,"Look Alive (feat. Drake)","BlocBoy JB",3914,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
125,Silence,Marshmello,3910,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
126,Dealer,"Capital Bra",3910,https://open.spotify.com/track/4VPoDlvmMuV3ZSd5DPzMQI
127,"Bugatti Veyron",Kurdo,3889,https://open.spotify.com/track/47mf0FjXwyRyx3VxgVt29z
128,Fuego,Dardan,3882,https://open.spotify.com/track/0lTZGbUM4dDjadujELCgEP
129,"High Hopes","Panic! At The Disco",3880,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
130,"Like I Do","David Guetta",3876,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
131,"Is It Love?","Rea Garvey",3854,https://open.spotify.com/track/2LwTLppGvaQUiTs28Yq4H3
132,Überlebt,Azet,3854,https://open.spotify.com/track/5ODK0R10oNrzGrZxRzwHvR
133,"Feel It Still","Portugal. The Man",3846,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
134,"Better Not (feat. Wafia)","Louis The Child",3831,https://open.spotify.com/track/447yWcDPg1ddgcHBLGpJC0
135,"Youth feat. Khalid","Shawn Mendes",3785,https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z
136,"Bella Ciao",JURI,3774,https://open.spotify.com/track/4HbWRdtVmSUPywDxXrwdrj
137,Crazy,"Lost Frequencies",3771,https://open.spotify.com/track/2hqy4QmpvMeVz6zeolDeLQ
138,"eine ins leben","Pizzera & Jaus",3760,https://open.spotify.com/track/25V3y1lVPuZ09ZcmliMAmQ
139,Nike,RIN,3670,https://open.spotify.com/track/4yoayx1RhdzjHvEc5tCsd2
140,"Say Something (feat. Chris Stapleton)","Justin Timberlake",3666,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
141,"Without You (feat. Sandro Cavazza)",Avicii,3665,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
142,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",3622,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
143,Columbo,Wanda,3609,https://open.spotify.com/track/2mhwX8vAz2l3i2wlrG8Av1
144,"Shape of You","Ed Sheeran",3596,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
145,Believer,"Imagine Dragons",3593,https://open.spotify.com/track/7Izh7zLJGw1Nscd62Exxj4
146,"Yallah Habibi - DJ Antoine & Mad Mark 2k18 German Mix","DJ Antoine",3560,https://open.spotify.com/track/5xXhbG39hXYag3yXAjutpg
147,"Cool (feat. Marc E. Bassy, Gucci Mane)","Felix Jaehn",3548,https://open.spotify.com/track/3vwVxnq3vQ6NxGVxaiuteR
148,Unforgettable,"Robin Schulz",3513,https://open.spotify.com/track/3rvEwBi1mFFHqCnkrGmnWp
149,"Andere Liga","RAF Camora",3507,https://open.spotify.com/track/2NWZiXyRdKEolP8QrjBGmp
150,"Anders als die","Capital Bra",3506,https://open.spotify.com/track/2lhMEIVhUOhgrN5eydoq9n
151,"I'll Be There","Jess Glynne",3496,https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn
152,"Plug Walk (feat. Ufo361) - Ufo361 Remix","Rich The Kid",3455,https://open.spotify.com/track/2LrvymM7z6iZnvEecx5ZIA
153,"Ti amo",Veysel,3453,https://open.spotify.com/track/66bsUCJWoy09bpuljIXumf
154,Dreamer,"Axwell /\ Ingrosso",3416,https://open.spotify.com/track/7hvxMYq9JW5W0vFwiu1Zdr
155,1950,"King Princess",3379,https://open.spotify.com/track/0CZ8lquoTX2Dkg7Ak2inwA
156,Enemies,Lauv,3375,https://open.spotify.com/track/3JJYIoJ5FyY9E0DGjr7SXF
157,"River (feat. Ed Sheeran)",Eminem,3373,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
158,"Lie to Me","Mikolas Josef",3338,https://open.spotify.com/track/6zBdVVksaTQeAzwfszbovz
159,"Love Lies (with Normani)",Khalid,3326,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
160,jedermann,"Pizzera & Jaus",3320,https://open.spotify.com/track/3sIUqTiWB2eok1HGzokqit
161,"I'm a Mess","Bebe Rexha",3315,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
162,Breathe,"Jax Jones",3294,https://open.spotify.com/track/6tvQzeCPwOytDlBYCIOY0n
163,"I'm Upset",Drake,3284,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
164,"Ja Bra 2","Capital Bra",3283,https://open.spotify.com/track/3r1k7FYpyl9zIibqw3e7Ai
165,"Acker jeden Tag",Ufo361,3272,https://open.spotify.com/track/4ImrjN1Xacm6O727yEgllS
166,Millionär,"187 Strassenbande",3248,https://open.spotify.com/track/6mw02h3qbWmuq2bJCRjRAe
167,Roli,Luciano,3216,https://open.spotify.com/track/7g469UXMGKeEBuxSXVbthJ
168,"Let You Down",NF,3191,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
169,"New Rules","Dua Lipa",3182,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
170,"Wake Me Up - Radio Edit",Avicii,3171,https://open.spotify.com/track/6g1NlCpW7fgqDnWbCCDrHl
171,Thunder,"Imagine Dragons",3160,https://open.spotify.com/track/26gceVsA1ybT8qsX3aYLEn
172,Rooftop,"Nico Santos",3151,https://open.spotify.com/track/637yH6Qs3wXdgjPjO7QGdr
173,"Palmen aus Plastik","Bonez MC",3133,https://open.spotify.com/track/6wHRm1KR8pzVDPdmR6Qovj
174,Sanctuary,"Welshly Arms",3068,https://open.spotify.com/track/6s4E1Wsbq5X9eHWprIQXIB
175,Safe,"Nico Santos",3066,https://open.spotify.com/track/5B7AL4ZcRVNsUzR8WUVxmT
176,Nervous,"Shawn Mendes",3061,https://open.spotify.com/track/0Dq49j3dELbttQVUJbtn0c
177,"Never Be the Same","Camila Cabello",3041,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
178,"Rolli von Pablo","Capital Bra",3033,https://open.spotify.com/track/3vstmZw0VdDGYqw9nUAy2A
179,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",3018,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
180,"I Like Me Better",Lauv,2993,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
181,APESHIT,"The Carters",2986,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
182,Perfect,"Ed Sheeran",2985,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
183,"Like To Be You feat. Julia Michaels","Shawn Mendes",2983,https://open.spotify.com/track/5QskYLFPX9y7pLU0VEMNbr
184,"XO Tour Llif3","Lil Uzi Vert",2983,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
185,"Drück Drück",Gzuz,2969,https://open.spotify.com/track/3PnK3iUPKPFWiEkQ0E5s7S
186,"Blah Blah Blah","Armin van Buuren",2953,https://open.spotify.com/track/7JoVRy6b5AqggrBcSQ27wV
187,Corleone,"RAF Camora",2948,https://open.spotify.com/track/5muvgRZXDU9DBmKcOolqkw
188,"Bon Voyage","Miami Yacine",2920,https://open.spotify.com/track/1VfSu8qtTf5PMi3d8XVZGj
189,Safari,Maxwell,2915,https://open.spotify.com/track/6hjck7ERXicpsW51UkdHCA
190,"unerhört solide","Pizzera & Jaus",2910,https://open.spotify.com/track/4h28Hnvtuz36MYks8B61uw
191,OTW,Khalid,2905,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
192,Kriminell,Azet,2902,https://open.spotify.com/track/1cDlVA17fnLm50ssTlS1ZQ
193,"This Is America","Childish Gambino",2866,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
194,Knöcheltief,Trettmann,2842,https://open.spotify.com/track/7AwPgamlOy97TfTIXDvb4S
195,Sober,"Demi Lovato",2832,https://open.spotify.com/track/0STK94RxUulYqWzwFlyAb5
196,Wolves,"Selena Gomez",2810,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
197,"'Till I Collapse",Eminem,2804,https://open.spotify.com/track/6yr8GiTHWvFfi4o6Q5ebdT
198,Revenge,XXXTENTACION,2802,https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW
199,"Live in the Moment","Portugal. The Man",2797,https://open.spotify.com/track/60eOMEt3WNVX1m1jmApmnX
200,"Ball For Me (feat. Nicki Minaj)","Post Malone",2792,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
