,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
113,"Nossa música",UM44K,72958,https://open.spotify.com/track/4hpcc2wq84pilUgDbIPkDN
114,"Psycho (feat. Ty Dolla $ign)","Post Malone",72909,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
115,"Beber Com Emergência - Ao Vivo","Jefferson Moraes",72868,https://open.spotify.com/track/1IcbQvHb9B7MikgQjfJtAl
116,"Never Let Me Go",Alok,72538,https://open.spotify.com/track/06ZpMjkNdIDKVf3mK29UiC
117,"Hear Me Now",Alok,72447,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
118,"Amar Amei","Mc Don Juan",72429,https://open.spotify.com/track/1kNVJQEkobOlyfbctPZ4fs
119,"Ritmo Mexicano","Mc Gw",72419,https://open.spotify.com/track/6ZR7rT7vfwtY0EqyLeyAaO
120,"Trevo (Tu)",ANAVITÓRIA,72269,https://open.spotify.com/track/6bgQIw80xWC3MPZX4kVYGw
121,"Na Conta Da Loucura - Ao Vivo","Bruno & Marrone",70918,https://open.spotify.com/track/1hnGRSqLdeLB7x7kdDuizq
122,Thunder,"Imagine Dragons",70778,https://open.spotify.com/track/26gceVsA1ybT8qsX3aYLEn
123,"Mais Amor e Menos Drama - Ao Vivo","Henrique & Juliano",70588,https://open.spotify.com/track/2TihKW8ShdEEhKN3PSDEIq
124,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,70382,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
125,"Sem Contraindicação (feat. Bruno & Marrone) - Ao Vivo","Diego & Victor Hugo",69739,https://open.spotify.com/track/0pqyzGaS6qpdHs3bzjVYzb
126,"In My Blood","Shawn Mendes",69700,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
127,"Bed (feat. Ariana Grande)","Nicki Minaj",69539,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
128,"the light is coming (feat. Nicki Minaj)","Ariana Grande",69039,https://open.spotify.com/track/5iZ4hcpCgFVijq5OOjBTKZ
129,"12 Horas (Ao Vivo)",Dilsinho,68652,https://open.spotify.com/track/7B826fTyDa3DkjnKpOgXFo
130,"Rapariga Não - Ao Vivo","João Neto & Frederico",68448,https://open.spotify.com/track/0ihMkv4Usn03EEEF8Rlw22
131,"Meu Mundo","WC no Beat",68444,https://open.spotify.com/track/1hw5UuO6s1DRAJmCn4Nc1H
132,"Só Vem! - Ao Vivo",Thiaguinho,67988,https://open.spotify.com/track/4bXwQ9ZcMjoN28b4J9bykr
133,"Amigo Taxista","Zé Neto & Cristiano",66977,https://open.spotify.com/track/6LEFk0KHRfahO5pOMJlbdV
134,"Parece Namoro - Ao Vivo | Acústico","Marília Mendonça",66527,https://open.spotify.com/track/67gLKHTj5FsGwbUCcGQZFm
135,"Me Negaram Amor","Cynthia Luz",66389,https://open.spotify.com/track/4oH03lpFiysmcWex1AyddD
136,"Pesadão (Participação especial Marcelo Falcão)",IZA,64846,https://open.spotify.com/track/2nPYWC7Jtd3gsd1iMQT3Vs
137,"Vou Pegar",DENNIS,64344,https://open.spotify.com/track/5Ufele27Idk8xPHYMh85Ra
138,"Everybody Dies In Their Nightmares",XXXTENTACION,64236,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
139,"Terra Sem CEP - Ao Vivo","Jorge & Mateus",63748,https://open.spotify.com/track/2U94QDSo9N4e1iXrjo7KAB
140,"Oh Nega","Junior Lord",63615,https://open.spotify.com/track/5N01PIDYxihL0tB4c73HLN
141,Youngblood,"5 Seconds of Summer",63509,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
142,"Fazer Falta","Mc Livinho",63482,https://open.spotify.com/track/6pSYjx66rlqRmGGTHhnjCo
143,"Big Jet Plane",Alok,62607,https://open.spotify.com/track/3lInRGfft6CCsJJPZX3AXq
144,"Cliente Preferencial (Um Modão Atrás Do Outro) - Ao Vivo","George Henrique & Rodrigo",62307,https://open.spotify.com/track/6ujbQPGL1jQs3fAUtKwX0x
145,"Cante por Nós","Vintage Culture",62266,https://open.spotify.com/track/7q4aClIlFcgyVQDACJQdmG
146,"lovely (with Khalid)","Billie Eilish",61715,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
147,Abusadamente,"MC Gustta",61632,https://open.spotify.com/track/7vgNGxchhqDQWjKjLPTPro
148,"Pegada Que Desgrama","Naiara Azevedo",61439,https://open.spotify.com/track/2gl2F5Z6ReNVh0wcyPLCKA
