,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
153,"Qué Gano Olvidándote (feat. Zion & Lennox) - Versión Urbana",Reik,23313,https://open.spotify.com/track/3H179O48ynsu9q8LOnFQZY
154,"Traicionera - Remix","Sebastian Yatra",23309,https://open.spotify.com/track/2webQDZmtGioeu3zUUi9We
155,"Soy Un Don","Juan Magán",22969,https://open.spotify.com/track/0f7hD4LbGB8GZ67LrgZJZQ
156,"Vacaciones - Remix",Wisin,22860,https://open.spotify.com/track/42QpgFFhu8SIKFK2dp0kUj
157,"Perdonarme (feat. Taburete)","Café Quijano",22835,https://open.spotify.com/track/5UtF2wWiAwUbwRHQ4HCuft
158,"24K Magic","Bruno Mars",22771,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
159,Congratulations,"Post Malone",22582,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
160,Passionfruit,Drake,22579,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
161,"Here With You","Lost Frequencies",22552,https://open.spotify.com/track/5NNHkxTCKXAKQpCNqXgx9t
162,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,22542,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
163,"Perfect Strangers","Jonas Blue",22484,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
164,"Chillax (feat. Ky-Mani Marley)",Farruko,22371,https://open.spotify.com/track/1lxswgIpzV6HhENRvkflES
165,"Hasta el Amanecer","Nicky Jam",22028,https://open.spotify.com/track/5Fim1gaXBgsiFfsQAfQSDS
166,"Rollin (feat. Future & Khalid)","Calvin Harris",21848,https://open.spotify.com/track/0lMbuWUpfTWhEmOKxppEau
167,"Ciao Adios",Anne-Marie,21775,https://open.spotify.com/track/3EfugazgSddQvzZpkof5I4
168,"Shaky Shaky","Daddy Yankee",21756,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf
169,"Simple (feat. Cosculluela, Nengo Flow & Baby Rasta y Gringo)","DJ Luian",21728,https://open.spotify.com/track/15kZDQoTtpkya2kG8ZPJoi
170,"Sin Contrato (feat. Don Omar & Wisin) - Remix",Maluma,21498,https://open.spotify.com/track/2xNZeeqmwMPVKnD7FSQfgt
171,Paradinha,Anitta,21391,https://open.spotify.com/track/05rJdH2MRLJ3sQoEUO78qs
172,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",21342,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
173,"Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)",Arcangel,21003,https://open.spotify.com/track/6NSMQFKgjpQb0KkjMDYIK0
174,"Te Robo Remix","Gigolo Y La Exce",20799,https://open.spotify.com/track/2qHiGVZkLDpQr5MsBWspSD
175,"Faking It (feat. Kehlani & Lil Yachty)","Calvin Harris",20746,https://open.spotify.com/track/0pJPdSVti6cTM1Q6xYGmcf
176,"Call On Me - Ryan Riback Extended Remix",Starley,20664,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
177,"In Your Bed","Blas Cantó",20587,https://open.spotify.com/track/4sL6UBzmO2TUqOec1KNeHj
178,"Bailame Despacio - Piso 21 Remix",Xantos,20401,https://open.spotify.com/track/0EhyUkKRh4olNJY0lJ9rhG
179,"Shed a Light","Robin Schulz",20363,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
180,"Al Filo de Tu Amor","Carlos Vives",20330,https://open.spotify.com/track/77a9893yxuz36cBUmBzA8E
181,Aprovéchame,"Andy Rivera",20271,https://open.spotify.com/track/4pkCB8ZslWoCF0xoKqNRqp
182,Paris,"The Chainsmokers",20213,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
183,"One Dance",Drake,20198,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
184,"Uno X Uno","Manuel Carrasco",20106,https://open.spotify.com/track/5UT0srpbH055rM8lyCNTJV
185,Tuesday,"Burak Yeter",19865,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR
186,"Let Me Love You","DJ Snake",19833,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
187,Cold,"Maroon 5",19804,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
188,"Castle on the Hill","Ed Sheeran",19646,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
189,"Ganas Locas (feat. Farruko)","Prince Royce",19399,https://open.spotify.com/track/7JpzzaCzljQdfnG7wPRqSe
190,"By Your Side","Jonas Blue",19394,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j
191,Persiguiéndonos,"C. Tangana",19004,https://open.spotify.com/track/4D1JoHyxlpEdZOui7w76zx
192,"Métele suave (feat. Fuego & La Materialista)",Xriz,18895,https://open.spotify.com/track/0EJzRsdEtZVP8LoXpxD4hm
193,Imitadora,"Romeo Santos",18867,https://open.spotify.com/track/19CAKZdXVNyZrfmF60RAj3
194,Redbone,"Childish Gambino",18745,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
195,Closer,"The Chainsmokers",18745,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
196,"Fiebre (Prod. King DouDou)","Bad Gyal",18444,https://open.spotify.com/track/5xtxxuIqInrLDSfjA6Co3o
197,"Baby I Won't","Danny Ocean",18424,https://open.spotify.com/track/1G0xFA3KNiKdbjhT2asL43
198,"Cheap Thrills",Sia,18403,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
199,"No digas nada","Mario Bautista",18358,https://open.spotify.com/track/1RwoXmQ3RvIdfG8bLeX65g
200,"In the Name of Love","Martin Garrix",18330,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
