,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
133,"Freisein (feat. Xavier Naidoo)",Juju,77365,https://open.spotify.com/track/5VO6MQGMAw8gm98JHz7mfc
134,Soldi,Mahmood,77104,https://open.spotify.com/track/4szQkW1CDHqbRZGltXJdd3
135,"Calma - Remix","Pedro Capó",76637,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
136,"Body (feat. brando)","Loud Luxury",76353,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
137,"Dior 2001",RIN,76117,https://open.spotify.com/track/2eNSyVH3sNPiAj9WpRYK73
138,"Kein Problem","Apache 207",75403,https://open.spotify.com/track/3Zigq1lfHmFRlyoRrh9k2s
139,2x,Mathea,75322,https://open.spotify.com/track/2pu5rVWy3zPlgypJzL3Mlw
140,"bis um 3",KALIM,75317,https://open.spotify.com/track/03SfDYmOPflD23iTL5qjiq
141,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",75235,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
142,"Tausend Tattoos",Sido,74909,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu
143,"Was du Liebe nennst",Bausa,74374,https://open.spotify.com/track/2hIY4sjfMeKwXXh2LvhrMo
144,"Coco Chanel",Juju,73933,https://open.spotify.com/track/1FZtSAittCPqEabWPAVvdA
145,Copacabana,"Leon Machère",73019,https://open.spotify.com/track/214Mx6MSJhtaO1uPtZGqLH
146,"Pass auf wen du liebst",Ufo361,72915,https://open.spotify.com/track/5NsCv3I7o0f6vSQScG01f1
147,"Wallah ich leb","Ardian Bujupi",72622,https://open.spotify.com/track/0ykyzhXZr4vW0UNDreYfiH
148,"So jung",Kianush,72088,https://open.spotify.com/track/5tMMgDL2xejIXui46nsB70
149,"when the party's over","Billie Eilish",71996,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
150,Perdono,LX,71477,https://open.spotify.com/track/6vqwNBT87x37nNvfmuNTaJ
151,"i'm so tired...",Lauv,71382,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
152,"Bling Bling",Juju,69521,https://open.spotify.com/track/3RZmvxJ0QtbZILdFLdwWX8
153,Fragen,Azet,68847,https://open.spotify.com/track/3gs4lX2JSAFc8v8piogE3i
154,Happier,Marshmello,68690,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
155,Kokain,"Bonez MC",68638,https://open.spotify.com/track/4Bj3usjRTckEJARO0dLbDf
156,"Giant (with Rag'n'Bone Man)","Calvin Harris",68254,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
157,RADIO,Rammstein,67267,https://open.spotify.com/track/5vZ4IeUenK2cHub2d7yfWk
158,Ferrari,Eno,67229,https://open.spotify.com/track/69ytBtCGuiXKRF1qXkthsR
159,"Kampfgeist 4","Kontra K",66620,https://open.spotify.com/track/5jvnef2ktg3IyEkVoQDV83
160,"lovely (with Khalid)","Billie Eilish",65691,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
161,"Hobby Hobby",MERO,65611,https://open.spotify.com/track/0dmrz4V5kiezQAqQ3VqGob
162,"Viva la Dealer",SDP,65040,https://open.spotify.com/track/2vuFdbSOLje3khV4rLSEpm
163,Neymar,"Capital Bra",64470,https://open.spotify.com/track/7ecGSqT8Ulbzhs5QwgWGVN
164,Cataleya,Samra,64306,https://open.spotify.com/track/3MrTi2XjvQCZm8V1P1ryuR
165,"Ohne mein Team","Bonez MC",64109,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
166,"Here With Me",Marshmello,63866,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
167,Farben,"Kontra K",63843,https://open.spotify.com/track/6D4JwhnD6YzC25F8bh3Y8X
168,Abfahrt,"FiNCH ASOZiAL",63236,https://open.spotify.com/track/7sIQ5eF9ZmZY6lGGwZKaP9
169,"All Day And Night - Jax Jones & Martin Solveig Present Europa","Jax Jones",63159,https://open.spotify.com/track/3O83h4LS797N23DpweeRAa
170,"Warum ich (feat. Moe Phoenix)","PA Sports",63096,https://open.spotify.com/track/0mtaT3tbw0rTY6qIkTxpRM
171,"Lambo Diablo GT (feat. Nimo & Juju) - Remix",Capo,63004,https://open.spotify.com/track/3TMW1GOB1lsmvf8er2dE8g
172,"Talk (feat. Disclosure)",Khalid,62662,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
173,Sprudelwasser,Jigzaw,62545,https://open.spotify.com/track/7iChldxEK6KNoeX1x85Tlh
174,"Wild Stare","Giant Rooks",62270,https://open.spotify.com/track/2SClPoLfPJmwrr3EyfgRTS
175,Trance,Qzeng,61886,https://open.spotify.com/track/5eA0fLfQRw9WuX34ZRPvAT
176,"Das Buch",Sido,61804,https://open.spotify.com/track/6SX4L6NKqcH42eY2gX6qoX
177,"Melodien (feat. Juju)","Capital Bra",61444,https://open.spotify.com/track/5d35jcJj7WjDQBOHCHPY6t
178,"rockstar (feat. 21 Savage)","Post Malone",61276,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
179,"Be Alright","Dean Lewis",60372,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
180,"Mad Love",Mabel,60223,https://open.spotify.com/track/79JBjIq90BrQ8Ws0pUhlzD
