,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
80,"The Middle",Zedd,1159,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
81,"Like To Be You feat. Julia Michaels","Shawn Mendes",1146,https://open.spotify.com/track/5QskYLFPX9y7pLU0VEMNbr
82,"I Know You (feat. Yung Pinch)","Lil Skies",1144,https://open.spotify.com/track/5Cg98kiDYtCEHmjcKD0CJD
83,"Better Not (feat. Wafia)","Louis The Child",1142,https://open.spotify.com/track/447yWcDPg1ddgcHBLGpJC0
84,TATI,6ix9ine,1137,https://open.spotify.com/track/6kp0inxIexxSiDJfWqq0ZL
85,"ocean eyes","Billie Eilish",1137,https://open.spotify.com/track/7hDVYcQq6MxkdJGweuCtl9
86,JAPAN,"Famous Dex",1135,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
87,"Feel It Still","Portugal. The Man",1129,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
88,"New Light","John Mayer",1117,https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV
89,"Like I Do","David Guetta",1105,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
90,"Lonely Together (feat. Rita Ora)",Avicii,1101,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
91,HUMBLE.,"Kendrick Lamar",1099,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
92,"Dance To This (feat. Ariana Grande)","Troye Sivan",1093,https://open.spotify.com/track/1NbGcdgwRHZ5rbPIT9hdR3
93,goosebumps,"Travis Scott",1076,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
94,Yikes,"Kanye West",1075,https://open.spotify.com/track/2r4JRwcbIeuAzWjH4YXlLs
95,"Let Me Live (feat. Anne-Marie & Mr Eazi)",Rudimental,1073,https://open.spotify.com/track/3D1rlKmZdpYUeMtRRLNawc
96,GHOST,Jaden,1058,https://open.spotify.com/track/0aWMostcnfyjuCEcO7sTz5
97,"I don’t even speak spanish lol - feat. Rio Santana, Judah, Andrez Babii",XXXTENTACION,1050,https://open.spotify.com/track/14boA065HMHWvqyPPEeN4y
98,"Plug Walk","Rich The Kid",1042,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
99,Somebody,"The Chainsmokers",1026,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
100,Familiar,"Liam Payne",1009,https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A
101,"Champion (feat. Travis Scott)",NAV,1008,https://open.spotify.com/track/6nO3tr47nr2P7f3hXb8JIo
