,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
123,"Arms Of A Stranger","Niall Horan",7421,https://open.spotify.com/track/63MU2FswcPQclQMxK17Fkb
124,"This Town","Niall Horan",7302,https://open.spotify.com/track/0qvzXomUDJVaUboy2wMfiS
125,"Say You Won't Let Go","James Arthur",7246,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
126,"Piece Of Your Heart",MEDUZA,7229,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
127,Wow.,"Post Malone",7225,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
128,SAD!,XXXTENTACION,7184,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
129,"Jocelyn Flores",XXXTENTACION,7183,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
130,Rome,"Dermot Kennedy",7128,https://open.spotify.com/track/2ZwihAP8zB5XX1CmYIOBbF
131,"rockstar (feat. 21 Savage)","Post Malone",7119,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
132,"Cross Your Mind","Niall Horan",7103,https://open.spotify.com/track/7B0jvve829GGdU5kFttQTY
133,Sucker,"Jonas Brothers",7101,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
134,Myron,"Lil Uzi Vert",7055,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
135,"Winona Ryder","Picture This",6991,https://open.spotify.com/track/11wzBoHOY1WJmIPQVBavGe
136,"Don't Rush (feat. Headie One)","Young T & Bugsey",6868,https://open.spotify.com/track/0PXukVbYpvz40KcEFKnIw7
137,"San Francisco","Niall Horan",6846,https://open.spotify.com/track/5iSkdzgBBtAAkaqULGPZUd
138,"Goodbyes (Feat. Young Thug)","Post Malone",6778,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
139,One,"Lewis Capaldi",6752,https://open.spotify.com/track/5C1TucCRf4Vjjree1OItyv
140,"fuck, i'm lonely (with Anne-Marie)",Lauv,6751,https://open.spotify.com/track/09PGubKAMryhOWv1LHpCYz
141,"Baby Pluto","Lil Uzi Vert",6714,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh
142,"Feel Me","Selena Gomez",6705,https://open.spotify.com/track/4MdcsdRj7i8eBm0qFjO4L4
143,"No Idea","Don Toliver",6677,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU
144,"Dancing On My Own","Calum Scott",6658,https://open.spotify.com/track/2BOqDYLOJBiMOXShCV1neZ
145,Forever,"Lewis Capaldi",6657,https://open.spotify.com/track/12OLyHDxt6dqlAybSPFBK3
146,2002,Anne-Marie,6581,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
147,React,"The Pussycat Dolls",6478,https://open.spotify.com/track/0GWYApQBwErVPkyXYCTJjI
148,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,6471,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
149,"New Angel","Niall Horan",6452,https://open.spotify.com/track/3lMIgIO9HkPxnAZGmtTdpT
150,"The Other Side (from Trolls World Tour)",SZA,6434,https://open.spotify.com/track/463PQggkmk5tTw8ug0ahOX
