,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
145,"Treat You Better","Shawn Mendes",22767,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
146,"No Role Modelz","J. Cole",22711,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
147,"Cheap Thrills",Sia,22689,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
148,"Chantaje (feat. Maluma)",Shakira,22635,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
149,"How Would You Feel (Paean)","Ed Sheeran",22562,https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN
150,"Nancy Mulligan","Ed Sheeran",22322,https://open.spotify.com/track/35QZaWQRkmnAVqBF1TLCxQ
151,"White Iverson","Post Malone",22061,https://open.spotify.com/track/6eT7xZZlB2mwyzJ2sUKG6w
152,"The Greatest (feat. Kendrick Lamar)",Sia,21733,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO
153,"Slippery (feat. Gucci Mane)",Migos,21706,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE
154,"Work from Home (feat. Ty Dolla $ign)","Fifth Harmony",21661,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
155,"Good Life (with G-Eazy & Kehlani)",G-Eazy,21396,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
156,"Feels Right - Galloway Remix","Jocelyn Alice",21367,https://open.spotify.com/track/41xpFBBttwitDVd7rEDc2p
157,Capsize,FRENSHIP,21315,https://open.spotify.com/track/2XMTqoHHSH0lvuXrvIEdco
158,"Too Many Years","Kodak Black",21314,https://open.spotify.com/track/0BU7nIcCZxYSE0hYcc5oZz
159,"Both (feat. Drake)","Gucci Mane",21276,https://open.spotify.com/track/5tFep7dXGd7vEJ668wTPux
160,"True Love","DiRTY RADiO",21190,https://open.spotify.com/track/7q02j5zwOqQOXm21IaPMlY
161,"This Is What You Came For (feat. Rihanna)","Calvin Harris",21127,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
162,"Taped up Heart (feat. Clara Mae)",KREAM,20997,https://open.spotify.com/track/26hcyzSE154xMZCbFdtInA
163,"Lights Down Low",MAX,20872,https://open.spotify.com/track/1sYSP7gKa5kdKIfhANfori
164,"Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)",Vice,20818,https://open.spotify.com/track/40UroIGvsMPLPBYwH8rMNA
165,"Thinking out Loud","Ed Sheeran",20670,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
166,"Gucci On My (feat. 21 Savage, YG & Migos)","Mike WiLL Made-It",20607,https://open.spotify.com/track/3IHZc2GclRu5nJpTqty7MY
167,Breathe,"Astrid S",20580,https://open.spotify.com/track/4fhVodXZARPX0oTuQh8V9l
168,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",20529,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
169,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,20327,https://open.spotify.com/track/5Z01UMMf7V1o0MzF86s6WJ
170,"Needed Me",Rihanna,20326,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
171,Thumbs,"Sabrina Carpenter",20305,https://open.spotify.com/track/3UjJP4ludb74a29P5EHEIo
172,"Lights Out","Virginia To Vegas",20258,https://open.spotify.com/track/07ARBxsDbIdAxLwuRCkGJ4
173,"'Till I Collapse",Eminem,20225,https://open.spotify.com/track/6yr8GiTHWvFfi4o6Q5ebdT
174,"Money Longer","Lil Uzi Vert",20214,https://open.spotify.com/track/0B8QzDH7YWih85V5SEMnyJ
175,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",20211,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
176,"All We Know","The Chainsmokers",19944,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK
177,"Scars To Your Beautiful","Alessia Cara",19845,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
178,"Water Under the Bridge",Adele,19815,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y
179,"No Heart","21 Savage",19759,https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO
180,Photograph,"Ed Sheeran",19651,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
181,Jumpman,Drake,19638,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
182,Faded,"Alan Walker",19611,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos
183,Chanel,"Frank Ocean",19574,https://open.spotify.com/track/6Nle9hKrkL1wQpwNfEkxjh
184,"Love Me Now","John Legend",19469,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
185,"Stressed Out","Twenty One Pilots",19392,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
186,"Golden Youth","Leroy Styles",19327,https://open.spotify.com/track/76cX1GFe7MHAxcfNDOckuS
187,"Lean On (feat. MØ & DJ Snake)","Major Lazer",19234,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
188,Eraser,"Ed Sheeran",19223,https://open.spotify.com/track/7oolFzHipTMg2nL7shhdz2
189,PRBLMS,6LACK,19216,https://open.spotify.com/track/2wf9bp4MkChojtljddWpbO
190,Riptide,"Vance Joy",19191,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
191,"m.A.A.d city","Kendrick Lamar",19088,https://open.spotify.com/track/439TlnnznSiBbQbgXiBqAd
192,"Don't Stop Believin'",Journey,19067,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
193,Ophelia,"The Lumineers",19017,https://open.spotify.com/track/7bTwYGhBdSQ8vuXc76Xint
194,"This Town","Niall Horan",18843,https://open.spotify.com/track/5nA67Y0XX9JipZwYxX7Gl7
195,"Love Yourself","Justin Bieber",18739,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
196,"No Favors","Big Sean",18692,https://open.spotify.com/track/1MksGqIztTT6M9R1ErKVs8
197,"Let It Go","James Bay",18549,https://open.spotify.com/track/13HVjjWUZFaWilh2QUJKsP
198,Human,"Rag'n'Bone Man",18407,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
199,"ROCKABYE BABY (feat. ScHoolboy Q)","Joey Bada$$",18379,https://open.spotify.com/track/31mqc7EKPsJf3pe6H5jEfC
200,Sorry,"Justin Bieber",18282,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
