,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
168,"Jackie Chan",Tiësto,15101,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
169,"Felices los 4",Maluma,15067,https://open.spotify.com/track/1RouRzlg8OKFeqc6LvdxmB
170,Bonita,"J Balvin",15013,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v
171,Abuso,Brytiago,14919,https://open.spotify.com/track/1SRkUC6I28rxLS3XX5DDqE
172,"Sexto Sentido (feat. Bad Bunny)","Gigolo Y La Exce",14907,https://open.spotify.com/track/3iDPALl8BoUbuXZgy6EOWY
173,"rockstar (feat. 21 Savage)","Post Malone",14902,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
174,"Born To Be Yours",Kygo,14838,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
175,"Bed (feat. Ariana Grande)","Nicki Minaj",14805,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
176,Hope,XXXTENTACION,14608,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
177,Antorcha,Cami,14567,https://open.spotify.com/track/3Ry0vsOdOeJe4Emt5WlH1a
178,"Me llamas (feat. Maluma) - Remix","Piso 21",14486,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
179,"Bohemian Rhapsody - Remastered 2011",Queen,14466,https://open.spotify.com/track/1AhDOtG9vPSOmsWgNW0BEY
180,"Hey DJ",CNCO,14320,https://open.spotify.com/track/1XgpK29CGGjZnxPYkiRbh4
181,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",14309,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
182,"La Realidad (Remix)",Pusho,14271,https://open.spotify.com/track/2PgsOTPkF25VJ9cZmUjSKE
183,"Loca (feat. Duki, Cazzu)",KHEA,14248,https://open.spotify.com/track/0vnrhysrKKRdNYFKLAGzRc
184,"Sólo Mía (feat. Maluma)",Yandel,14147,https://open.spotify.com/track/1ei3g2hMYh1VKvik9FoUQR
185,"Quien Sabe","Natti Natasha",14092,https://open.spotify.com/track/5ZkPBld8QqfUkS6aJG40yj
186,"Reggaetón Lento (Bailemos)",CNCO,14087,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
187,Traicionera,"Sebastian Yatra",14085,https://open.spotify.com/track/4Ft0391aLVNtCPPseh98lp
188,"That's What I Like","Bruno Mars",13944,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
189,Chambea,"Bad Bunny",13894,https://open.spotify.com/track/6ElmxV9B2mSNscEjP27M7i
190,"Quiere Fumar","Casper Magico",13892,https://open.spotify.com/track/24kBScVXo0uNzQmNuYYSmd
191,"La Incondicional","Luis Miguel",13787,https://open.spotify.com/track/6F9yAYUaNbUhdlQyt5uZ3b
192,Saturno,"Pablo Alborán",13697,https://open.spotify.com/track/2f0Ft2XdvNSMSY5TUlZgEz
193,"Grandes pasos","Movimiento Original",13680,https://open.spotify.com/track/5PN6mXTkzE43DztEmAqsqj
194,"FAKE LOVE",BTS,13635,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
195,"Azukita (Steve Aoki, Daddy Yankee, Play-N-Skillz & Elvis Crespo) (feat. Elvis Crespo)","Steve Aoki",13589,https://open.spotify.com/track/5e45GhSF18JYoLpaq2F48h
196,Dueles,"Jesse & Joy",13582,https://open.spotify.com/track/1iRvhKiXRElIH2Uf4gd95P
197,"Si Tú La Ves (feat. Wisin)","Nicky Jam",13550,https://open.spotify.com/track/4yN6xPLopmTLvc27pO9LIE
198,"Scared to Be Lonely","Martin Garrix",13534,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
199,NUMB,XXXTENTACION,13455,https://open.spotify.com/track/01TnVDiet1DFTsyWKUKovl
200,"Psycho (feat. Ty Dolla $ign)","Post Malone",13412,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
