,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
89,Tijdloos,Kevin,40780,https://open.spotify.com/track/2aMM7wt5nW79gYKsIsKlfm
90,Hoofdprijs,"Sevn Alias",40442,https://open.spotify.com/track/5wn1J25F2H0h2FHTIobnBy
91,Moonlight,XXXTENTACION,40257,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
92,Nicotine,Chef'Special,39863,https://open.spotify.com/track/6yvxKrf9KZLTodXFTBmdR1
93,Merry,"Nafthaly Ramona",39422,https://open.spotify.com/track/3hHHaTr65mG7bpApRW5CZQ
94,"No Love",Kempi,39022,https://open.spotify.com/track/1e10sWJFAhArHE8XeBvHb7
95,"Stop Met Typen",Equalz,38638,https://open.spotify.com/track/2fBHmGi4cnKynlXd7P6GZD
96,Diamant,Nielson,38319,https://open.spotify.com/track/1CMs5fZu0FYsYYz5wtBcsj
97,Vervloekt,Frenna,38166,https://open.spotify.com/track/79TeMvi549XpZT2r5ZhdnU
98,"Capital Letters","Hailee Steinfeld",38151,https://open.spotify.com/track/3towKHKVOXCCcL1fHv6xFO
99,"Real Friends","Camila Cabello",37938,https://open.spotify.com/track/3iq9nhbI8fcnNamxMft1uv
100,"Too Good At Goodbyes","Sam Smith",36477,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
101,"In Amsterdam","Sevn Alias",34290,https://open.spotify.com/track/4QXLXEcGPl18ghSz4cSEzP
102,Silence,Marshmello,34031,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
103,"Him & I (with Halsey)",G-Eazy,33916,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
104,"In Je Town",Supergaande,33457,https://open.spotify.com/track/1DbEa84a9aKnM9kzdhsFT1
105,"Miss You (with Major Lazer & Tory Lanez)","Cashmere Cat",33159,https://open.spotify.com/track/0as7lPxkBPctZ7uVmchRNM
106,"Plug Walk","Rich The Kid",33142,https://open.spotify.com/track/0gD6lWJhbXHWNVwQziSVvl
107,Loterij,"Lil Kleine",33118,https://open.spotify.com/track/260azNxQzQIloG7OpjQtTC
108,"Feel It Still","Portugal. The Man",32808,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
109,Traag,Bizzey,32734,https://open.spotify.com/track/7shAADk9RbPvnwCSkjctFJ
110,"Net Iets Meer","Lil Kleine",32667,https://open.spotify.com/track/2SdXCB4OPo6J6Yc7V249pS
111,Automatic,Josylvio,32255,https://open.spotify.com/track/5uvc3HQcF40ZKvWfe4n9Vp
112,"Zwarte Hoodie","Jonna Fraser",31860,https://open.spotify.com/track/45lL0dfpKJiu3rjxEihzKP
113,Krantenwijk,"Lil Kleine",31812,https://open.spotify.com/track/1X8py2jInjgIQ9Y9roDQZC
114,"Sex, Love & Water","Armin van Buuren",31515,https://open.spotify.com/track/6o6vq3IrtXqvbQnrtTwtKc
115,"Lovely Body",SFB,31513,https://open.spotify.com/track/65ExBcuMthmxRVnPVvWCe3
116,"Dusk Till Dawn - Radio Edit",ZAYN,31046,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
117,LIT,"The Partysquad",30918,https://open.spotify.com/track/2QWPb6jDxCIDBBllquNCWx
118,"Alles Of Niets",Josylvio,30457,https://open.spotify.com/track/6jvcVeIza84syUEXlTP8mz
119,Cartier,Dopebwoy,30268,https://open.spotify.com/track/18B3AG7KK2hSjL0UY6EjUB
