,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
86,Mercy,"Shawn Mendes",37293,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
87,"Cheap Thrills",Sia,37220,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
88,"C'est la même","Djadja & Dinaz",37141,https://open.spotify.com/track/6wR97bho2QoIiP5wxNxtQz
89,DKR,Booba,37110,https://open.spotify.com/track/1iDQ2zCOU1uYeR8QcpqUZb
90,Naha,PNL,37038,https://open.spotify.com/track/0lkQfsTMmtDA37tjjew9n0
91,"Tout donner - Pilule violette",GIMS,36610,https://open.spotify.com/track/5ASacvNO76BB7Dxtp74qqz
92,Starboy,"The Weeknd",36363,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
93,Ouloulou,Dabs,36226,https://open.spotify.com/track/4JIOC5P1G1NjhRJ2JSXm41
94,"My Way","Calvin Harris",35930,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
95,Tchikita,Jul,35723,https://open.spotify.com/track/6bXd0YhKLCTvlLVc4tErH9
96,"Your Mind (feat. Kristen Marie)",HEDIA,35582,https://open.spotify.com/track/2eqHbYG0r90Y3LpZVjQOJX
97,"Let Me Love You","DJ Snake",35250,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
98,"Love Me Now","John Legend",35015,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
99,"Final Song",MØ,33826,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7
100,"Grand Paris",Medine,33780,https://open.spotify.com/track/1jCnQf9BhMMnIvq8ETzFry
101,"By Your Side","Jonas Blue",33757,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j
102,"I Got You","Bebe Rexha",33214,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
103,"Elle et l'autre",Jul,32957,https://open.spotify.com/track/783vFwxaUzpGYAOEcGok9w
104,"Don't Leave",Snakehips,32607,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
105,Portland,Drake,32201,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h
106,"Pop Corn",Boostee,32027,https://open.spotify.com/track/6FK7DCwcQWWWG9VAT6ZGvz
107,"Love Gun - Radio Edit",Tess,31943,https://open.spotify.com/track/04DysC7XwYiKJqYwGM8mkU
108,"Catalogués bandits","Djadja & Dinaz",31451,https://open.spotify.com/track/6Vzj2n4sM8sX0oFG8RTQ6P
109,"Mauvais comportement","Djadja & Dinaz",31161,https://open.spotify.com/track/1qiBZ4sIwDbMt5DkKYeMvm
110,"Dis-moi que tu m'aimes",Ninho,30920,https://open.spotify.com/track/0u6HzAVFUBiKslzPF9G9vd
